Altium Designer Pick and Place Locations
D:\Dropbox\USM\3.2 PROYECTO Y TITULACION\Proyecto\Hardware\SmartyBoy\Project Outputs for SmartyBoy\Pick Place\Pick Place for smartyboy.csv

========================================================================================================================
File Design Information:

Date:       27-12-21
Time:       08:56
Revision:   519b22620b6cab2a299dd1496d16eedb5c8fe71e
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C1","10uF 25V","TopLayer","C0805","-59.2500","-25.8900","0","X5R 25V ±10% 10uF 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C2","22uF 25V","TopLayer","C0805","-56.0500","-25.8900","180","X5R 25V ±20% 22uF 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C3","1uF 50V","TopLayer","C0603","-83.0800","22.3100","90","X5R ±10% 50V 1uF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C4","1uF 50V","TopLayer","C0603","-78.0800","22.3100","270","X5R ±10% 50V 1uF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C5","0.1uF 50V","TopLayer","C0603","-73.7800","-13.5900","180","X7R 100nF ±10% 50V 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C6","0.1uF 50V","TopLayer","C0603","-76.8800","-13.6040","0","X7R 100nF ±10% 50V 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C7","0.1uF 50V","TopLayer","C0603","-39.5800","10.6100","0","X7R 100nF ±10% 50V 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C8","1uF 50V","TopLayer","C0603","-34.0000","-24.4900","270","X5R ±10% 50V 1uF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C9","0.22uF 25V","TopLayer","C0603","-39.2000","-21.6900","90","X7R 25V ±10% 220nF 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C10","0.1uF 50V","TopLayer","C0603","15.2000","-32.7900","270","X7R 100nF ±10% 50V 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C11","10uF 50V","TopLayer","C0805","-8.6400","-11.8400","270","X5R ±10% 50V 10uF 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C12","10uF 50V","TopLayer","C0805","-6.4400","-11.8400","270","X5R ±10% 50V 10uF 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C13","10uF 50V","TopLayer","C0805","-4.2400","-11.8400","270","X5R ±10% 50V 10uF 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C14","10uF 50V","TopLayer","C0805","-2.0400","-11.8400","270","X5R ±10% 50V 10uF 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"C15","0.1uF 50V","TopLayer","C0603","-11.6000","-10.1000","90","X7R 100nF ±10% 50V 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT"
"D1","1N5819WS","TopLayer","SOD-323","-36.8000","19.8100","180","40V 1A 600mV @ 1A SOD-323 Schottky Barrier Diodes (SBD)"
"D2","1N5819WS","TopLayer","SOD-323","-36.8000","22.1100","0","40V 1A 600mV @ 1A SOD-323 Schottky Barrier Diodes (SBD)"
"D3","1N5819WS","TopLayer","SOD-323","-41.9000","19.8100","0","40V 1A 600mV @ 1A SOD-323 Schottky Barrier Diodes (SBD)"
"D4","1N5819WS","TopLayer","SOD-323","-41.9000","22.1100","180","40V 1A 600mV @ 1A SOD-323 Schottky Barrier Diodes (SBD)"
"D5","1N5819WS","TopLayer","SOD-323","-26.2850","-40.6900","90","40V 1A 600mV @ 1A SOD-323 Schottky Barrier Diodes (SBD)"
"D6","1N5819WS","TopLayer","SOD-323","-13.2000","-40.6900","90","40V 1A 600mV @ 1A SOD-323 Schottky Barrier Diodes (SBD)"
"D7","PSM712-LF-T7","TopLayer","SOT-23-3","11.8000","-40.5900","90","Bidirectional - 19V 13.3V 12V SOT-23(SOT-23-3) TVS"
"D8","YELLOW","TopLayer","LED0603-YELLOW","-59.7000","-29.9900","180","Yellow 585.5~591.5nm 0603 Light Emitting Diodes (LED)"
"D9","YELLOW","TopLayer","LED0603-YELLOW","-82.7800","28.4100","180","Yellow 585.5~591.5nm 0603 Light Emitting Diodes (LED)"
"D10","YELLOW","TopLayer","LED0603-YELLOW","-49.3000","-36.4900","90","Yellow 585.5~591.5nm 0603 Light Emitting Diodes (LED)"
"D11","YELLOW","TopLayer","LED0603-YELLOW","-38.4000","-36.4900","90","Yellow 585.5~591.5nm 0603 Light Emitting Diodes (LED)"
"D12","YELLOW","TopLayer","LED0603-YELLOW","5.4200","18.6100","0","Yellow 585.5~591.5nm 0603 Light Emitting Diodes (LED)"
"D13","YELLOW","TopLayer","LED0603-YELLOW","-13.1800","18.6100","0","Yellow 585.5~591.5nm 0603 Light Emitting Diodes (LED)"
"D14","YELLOW","TopLayer","LED0603-YELLOW","-23.3000","-35.4900","270","Yellow 585.5~591.5nm 0603 Light Emitting Diodes (LED)"
"D15","YELLOW","TopLayer","LED0603-YELLOW","-10.2000","-35.5900","270","Yellow 585.5~591.5nm 0603 Light Emitting Diodes (LED)"
"F1","PTC 1.1A","TopLayer","1812L","-20.5850","-39.9900","180","Polymeric 33V 200mO 1.95A 500ms 1812 PTC Resettable Fuses"
"F2","PTC 1.1A","TopLayer","1812L","-7.5000","-39.9900","180","Polymeric 33V 200mO 1.95A 500ms 1812 PTC Resettable Fuses"
"J1","2P 3.81MM","TopLayer","TB-2P-3.81MM","-57.8850","-45.6900","180","Terminal Block 2 Positions 3.81MM"
"J2","USB C RCPT","TopLayer","USB-TYPE-C-RCPT","-79.5205","14.7750","270","Receptacle USB Type C 16 Pins"
"J3","2P 3.81MM","TopLayer","TB-2P-3.81MM","-25.3650","26.3100","0","Terminal Block 2 Positions 3.81MM"
"J4","3P 2.54MM","TopLayer","HDR-M-3P-2.54MM","-31.7600","14.6100","0","3 2.54mm Straight 1 Header,Breakaway Through Hole Pin Header & Female Header"
"J5","2P 3.81MM","TopLayer","TB-2P-3.81MM","-34.6750","26.3100","0","Terminal Block 2 Positions 3.81MM"
"J6","2P 3.81MM","TopLayer","TB-2P-3.81MM","-43.9750","26.3100","0","Terminal Block 2 Positions 3.81MM"
